ID,CONTROLID,CONTROLSERVICEID,VALUE,VALUEORDER
2049,442,169,Yes,0
2050,442,169,No,1
4093,712,169,Interior painting,0
4094,712,169,Exterior Painting,1
4095,712,169,Paint Removal,2
5812,887,505,Less than 8 packed suitcases,0
5813,887,505,1 bedroom home,1
5814,887,505,2 bedrooms,2
5815,887,505,3 bedrooms,3
5816,887,505,4 bedrooms,4
5817,887,505,5 bedrooms,5
5818,887,505,Larger than 5 bedrooms,6
125505,887,505,Other,200
5826,888,505,"Yes, please disassemble & pack all items",0
5827,888,505,Only large furniture & appliances,1
5828,888,505,"No, we will do all the packing",2
5832,889,505,We are on the ground floor,0
5833,889,505,Stairs - 1 to 3 floors,1
5834,889,505,Stairs - 4 floors or more,2
5835,889,505,Passenger lift,3
5836,889,505,Service lift,4
5842,890,505,We will move to the ground floor,0
5843,890,505,Stairs - 1 to 3 floors,1
5844,890,505,Stairs - 4 floors or more,2
5845,890,505,Passenger lift,3
5846,890,505,Service lift,4
48934,4377,1522,Two seater,0
48935,4377,1522,Three seater,5
48936,4377,1522,Four seater,10
48937,4377,1522,Other,200
48938,4379,1522,Basement,0
48939,4379,1522,Ground floor,5
48940,4379,1522,1st floor,10
48941,4379,1522,2nd floor,15
48942,4379,1522,3rd floor,20
48943,4379,1522,4th floor or more,25
48946,4380,1522,Basement,0
48947,4380,1522,Ground floor,5
48948,4380,1522,1st floor,10
48949,4380,1522,2nd floor,15
48950,4380,1522,3rd floor,20
48951,4380,1522,4th floor or more,25
40691,3200,1694,Whole flat renovation,0
40689,3200,1694,Kitchen renovation,5
40688,3200,1694,Bathroom renovation,10
40690,3200,1694,Other,200
93390,13061,1694,Painting,0
93387,13061,1694,Flooring,5
93391,13061,1694,Plastering,10
93384,13061,1694,Doors,15
93394,13061,1694,Windows,20
93392,13061,1694,Plumbing,25
93385,13061,1694,Electrical,30
93388,13061,1694,Heating,35
93393,13061,1694,Repair,40
93383,13061,1694,Conversion,45
93386,13061,1694,Extension,50
93389,13061,1694,Other,200
70307,8475,1808,Create a new website,0
70309,8475,1808,Make changes to an existing website,1
70308,8475,1808,Develop a mobile app,2
70318,8476,1808,"Informational (promotion, content etc)",0
70317,8476,1808,"Ecommerce (shopping cart, payment etc)",1
70319,8476,1808,Other,200
70315,8477,1808,Personal,0
70316,8477,1808,Sole trader/self-employed,1
70310,8477,1808,"Business, 1 to 9 employees",2
70311,8477,1808,"Business, 10 to 29 employees",3
70313,8477,1808,"Business, 30 to 99 employees",4
70312,8477,1808,"Business, 100 or more employees",5
70314,8477,1808,Other,200
70305,8478,1808,Less than £250,0
70302,8478,1808,£250 - £999,1
70300,8478,1808,"£1,000 - £1,999",2
70301,8478,1808,"£2,000 - £2,999",3
70303,8478,1808,"£3,000 - £4,999",4
70304,8478,1808,"£5,000 or more",5
70306,8478,1808,Other,200
41979,3389,1819,Less than 8 packed suitcases,0
41973,3389,1819,1 bedroom home,1
41974,3389,1819,2 bedrooms,2
41975,3389,1819,3 bedrooms,3
41976,3389,1819,4 bedrooms,4
41977,3389,1819,5 bedrooms,5
41978,3389,1819,Larger than 5 bedrooms,6
125504,3389,1819,Other,200
41982,3390,1819,"Yes, please disassemble & pack all items",0
41981,3390,1819,Only large furniture & appliances,1
41980,3390,1819,"No, we will do all the packing",2
41987,3391,1819,We are on the ground floor,0
41985,3391,1819,Stairs - 1 to 3 floors,1
41986,3391,1819,Stairs - 4 floors or more,2
41983,3391,1819,Passenger lift,3
41984,3391,1819,Service lift,4
41992,3392,1819,We will move to the ground floor,0
41990,3392,1819,Stairs - 1 to 3 floors,1
41991,3392,1819,Stairs - 4 floors or more,2
41988,3392,1819,Passenger lift,3
41989,3392,1819,Service lift,4
246896,44055,1956,Wedding,0
246894,44055,1956,Birthday party,5
261633,44055,1956,Graduation,10
261635,44055,1956,Baby shower,15
261634,44055,1956,Funeral,20
261636,44055,1956,Private party,20
261637,44055,1956,Corporate event,25
246895,44055,1956,Other,200
125445,19761,2710,Less than 8 packed suitcases,0
125439,19761,2710,1 bedroom home,5
125440,19761,2710,2 bedrooms,10
125441,19761,2710,3 bedrooms,15
125442,19761,2710,4 bedrooms,20
125443,19761,2710,5 bedrooms,25
125444,19761,2710,Larger than 5 bedrooms,30
254343,45245,2768,Studio,0
254337,45245,2768,1 bedroom,5
254338,45245,2768,2 bedrooms,10
254339,45245,2768,3 bedrooms,15
254340,45245,2768,4 bedrooms,20
254341,45245,2768,5+ bedrooms,25
254342,45245,2768,Other,200
254334,45246,2768,1 bathroom,0
254335,45246,2768,2 bathrooms,5
254336,45246,2768,3+ bathrooms,10
254344,45247,2768,I have pets,0
254345,45247,2768,I want eco-friendly products,5
254346,45247,2768,I want ironing done,10
254347,45247,2768,I want laundry done,15
254348,45247,2768,I want my carpet(s) cleaned,20
254349,45247,2768,I want my fridge cleaned,25
254350,45247,2768,I want my oven cleaned,30
254351,45247,2768,I want windows cleaned,35
